Test Name, UCT_AST_9AH_B4_CYCLE B
Test Date, 2024/03/11 03:11:18 PM
Operator ID, Uyilo
, 
Program Name, UCT_AST9AH_CYCLE_50
Program Description, 50-Repetition Bulk-Absorptiin_Float-Discharge Cycling program for 12V AGM
Program Database, C:\VisuaLCN\Programs\Standard tests.mdb
, 
Module Type, fj
Module Description, LCV 16-100-12
Address, Port: 1, Sys Controller: 1  Circuit: 14
Name, Channel 14
Device ID, Unknown
, 
Notes,   5.21b, MDB 9.542024/03/11 03:11:14 PM - Started by Masa 
Editable Notes, 

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Unassigned A1,Unassigned A2,Mode,Data Acquisition Flag,
5.0,1,1,1,1,1,5.0,1.5,11.408,17.1,0,0.02,0,0,CHRG, ,
10.0,1,1,1,1,1,10.0,1.5,11.431,17.1,0,0.04,0,0,CHRG, ,
15.0,1,1,1,1,1,15.0,1.49,11.447,17,0,0.07,0,0,CHRG, ,
20.0,1,1,1,1,1,20.0,1.5,11.461,17.1,0,0.09,0,0,CHRG, ,
25.0,1,1,1,1,1,25.0,1.5,11.474,17.1,0.01,0.11,0,0,CHRG, ,
30.0,1,1,1,1,1,30.0,1.5,11.485,17.2,0.01,0.14,0,0,CHRG, ,
35.0,1,1,1,1,1,35.0,1.5,11.495,17.2,0.01,0.16,0,0,CHRG, ,
40.0,1,1,1,1,1,40.0,1.5,11.504,17.2,0.01,0.18,0,0,CHRG, ,
45.0,1,1,1,1,1,45.0,1.5,11.512,17.2,0.01,0.21,0,0,CHRG, ,
50.0,1,1,1,1,1,50.0,1.5,11.52,17.2,0.02,0.23,0,0,CHRG, ,
55.0,1,1,1,1,1,55.0,1.5,11.527,17.2,0.02,0.26,0,0,CHRG, ,
60.0,1,1,1,1,1,60.0,1.5,11.534,17.2,0.02,0.28,0,0,CHRG, ,
65.0,1,1,1,1,1,65.0,1.5,11.54,17.2,0.02,0.3,0,0,CHRG, ,
70.0,1,1,1,1,1,70.0,1.5,11.545,17.3,0.02,0.33,0,0,CHRG, ,
75.0,1,1,1,1,1,75.0,1.5,11.551,17.3,0.03,0.35,0,0,CHRG, ,
80.0,1,1,1,1,1,80.0,1.5,11.556,17.3,0.03,0.38,0,0,CHRG, ,
85.0,1,1,1,1,1,85.0,1.5,11.56,17.3,0.03,0.4,0,0,CHRG, ,
90.0,1,1,1,1,1,90.0,1.5,11.564,17.3,0.03,0.42,0,0,CHRG, ,
95.0,1,1,1,1,1,95.0,1.5,11.569,17.3,0.03,0.45,0,0,CHRG, ,
100.0,1,1,1,1,1,100.0,1.5,11.572,17.3,0.04,0.47,0,0,CHRG, ,
105.0,1,1,1,1,1,105.0,1.5,11.575,17.3,0.04,0.5,0,0,CHRG, ,
110.0,1,1,1,1,1,110.0,1.5,11.579,17.3,0.04,0.52,0,0,CHRG, ,
115.0,1,1,1,1,1,115.0,1.5,11.582,17.3,0.04,0.54,0,0,CHRG, ,
120.0,1,1,1,1,1,120.0,1.5,11.585,17.3,0.04,0.57,0,0,CHRG, ,
125.0,1,1,1,1,1,125.0,1.5,11.588,17.3,0.05,0.59,0,0,CHRG, ,
130.0,1,1,1,1,1,130.0,1.5,11.591,17.3,0.05,0.62,0,0,CHRG, ,
135.0,1,1,1,1,1,135.0,1.5,11.593,17.3,0.05,0.64,0,0,CHRG, ,
140.0,1,1,1,1,1,140.0,1.5,11.596,17.3,0.05,0.66,0,0,CHRG, ,
145.0,1,1,1,1,1,145.0,1.5,11.599,17.3,0.06,0.69,0,0,CHRG, ,
150.0,1,1,1,1,1,150.0,1.5,11.601,17.3,0.06,0.71,0,0,CHRG, ,
155.0,1,1,1,1,1,155.0,1.5,11.604,17.3,0.06,0.74,0,0,CHRG, ,
160.0,1,1,1,1,1,160.0,1.49,11.606,17.3,0.06,0.76,0,0,CHRG, ,
165.0,1,1,1,1,1,165.0,1.5,11.608,17.3,0.06,0.78,0,0,CHRG, ,
170.0,1,1,1,1,1,170.0,1.49,11.61,17.3,0.07,0.81,0,0,CHRG, ,
175.0,1,1,1,1,1,175.0,1.5,11.613,17.4,0.07,0.83,0,0,CHRG, ,
180.0,1,1,1,1,1,180.0,1.49,11.615,17.3,0.07,0.86,0,0,CHRG, ,
185.0,1,1,1,1,1,185.0,1.5,11.617,17.4,0.07,0.88,0,0,CHRG, ,
190.0,1,1,1,1,1,190.0,1.5,11.619,17.4,0.07,0.91,0,0,CHRG, ,
195.0,1,1,1,1,1,195.0,1.5,11.621,17.4,0.08,0.93,0,0,CHRG, ,
200.0,1,1,1,1,1,200.0,1.5,11.623,17.4,0.08,0.95,0,0,CHRG, ,
205.0,1,1,1,1,1,205.0,1.5,11.625,17.4,0.08,0.98,0,0,CHRG, ,
210.0,1,1,1,1,1,210.0,1.5,11.627,17.4,0.08,1,0,0,CHRG, ,
215.0,1,1,1,1,1,215.0,1.5,11.628,17.4,0.08,1.03,0,0,CHRG, ,
220.0,1,1,1,1,1,220.0,1.5,11.63,17.4,0.09,1.05,0,0,CHRG, ,
225.0,1,1,1,1,1,225.0,1.5,11.632,17.4,0.09,1.07,0,0,CHRG, ,
230.0,1,1,1,1,1,230.0,1.5,11.634,17.4,0.09,1.1,0,0,CHRG, ,
235.0,1,1,1,1,1,235.0,1.5,11.635,17.4,0.09,1.12,0,0,CHRG, ,
240.0,1,1,1,1,1,240.0,1.49,11.637,17.3,0.09,1.15,0,0,CHRG, ,
245.0,1,1,1,1,1,245.0,1.5,11.639,17.4,0.1,1.17,0,0,CHRG, ,
250.0,1,1,1,1,1,250.0,1.5,11.64,17.4,0.1,1.2,0,0,CHRG, ,
255.0,1,1,1,1,1,255.0,1.5,11.642,17.4,0.1,1.22,0,0,CHRG, ,
260.0,1,1,1,1,1,260.0,1.5,11.643,17.4,0.1,1.24,0,0,CHRG, ,
265.0,1,1,1,1,1,265.0,1.5,11.645,17.4,0.11,1.27,0,0,CHRG, ,
270.0,1,1,1,1,1,270.0,1.5,11.647,17.4,0.11,1.29,0,0,CHRG, ,
275.0,1,1,1,1,1,275.0,1.5,11.648,17.4,0.11,1.32,0,0,CHRG, ,
280.0,1,1,1,1,1,280.0,1.5,11.65,17.4,0.11,1.34,0,0,CHRG, ,
285.0,1,1,1,1,1,285.0,1.5,11.651,17.4,0.11,1.36,0,0,CHRG, ,
290.0,1,1,1,1,1,290.0,1.5,11.653,17.4,0.12,1.39,0,0,CHRG, ,
295.0,1,1,1,1,1,295.0,1.5,11.654,17.4,0.12,1.41,0,0,CHRG, ,
300.0,1,1,1,1,1,300.0,1.5,11.656,17.4,0.12,1.44,0,0,CHRG, ,
305.0,1,1,1,1,1,305.0,1.5,11.657,17.4,0.12,1.46,0,0,CHRG, ,
310.0,1,1,1,1,1,310.0,1.5,11.659,17.4,0.12,1.49,0,0,CHRG, ,
315.0,1,1,1,1,1,315.0,1.5,11.661,17.4,0.13,1.51,0,0,CHRG, ,
320.0,1,1,1,1,1,320.0,1.5,11.662,17.4,0.13,1.53,0,0,CHRG, ,
325.0,1,1,1,1,1,325.0,1.5,11.663,17.4,0.13,1.56,0,0,CHRG, ,
330.0,1,1,1,1,1,330.0,1.5,11.665,17.4,0.13,1.58,0,0,CHRG, ,
